,game_pk,game_date,game_year,batter,pitcher,home_team,away_team,stand,p_throws,pitch_type,pitch_name,events,description,type,launch_speed,at_bat_number,pitch_number,inning,inning_topbot,outs_when_up,bat_score,fld_score,post_bat_score,post_fld_score
2631,777333,2025-06-28,2025,592663,606160,ATL,PHI,R,R,SI,Sinker,field_out,hit_into_play,X,93.2,71,11,9,Top,2,1,6,1,6
2685,777333,2025-06-28,2025,592663,606160,ATL,PHI,R,R,FF,4-Seam Fastball,0,foul,S,82.8,71,10,9,Top,2,1,6,1,6
2777,777333,2025-06-28,2025,592663,606160,ATL,PHI,R,R,FS,Split-Finger,0,foul,S,74.0,71,9,9,Top,2,1,6,1,6
2877,777333,2025-06-28,2025,592663,606160,ATL,PHI,R,R,FS,Split-Finger,0,foul,S,92.9,71,8,9,Top,2,1,6,1,6
2967,777333,2025-06-28,2025,592663,606160,ATL,PHI,R,R,SI,Sinker,0,foul,S,76.0,71,7,9,Top,2,1,6,1,6
3075,777333,2025-06-28,2025,592663,606160,ATL,PHI,R,R,FS,Split-Finger,0,ball,B,0.0,71,6,9,Top,2,1,6,1,6
3183,777333,2025-06-28,2025,592663,606160,ATL,PHI,R,R,FF,4-Seam Fastball,0,foul,S,79.7,71,5,9,Top,2,1,6,1,6
3311,777333,2025-06-28,2025,592663,606160,ATL,PHI,R,R,FF,4-Seam Fastball,0,called_strike,S,0.0,71,4,9,Top,2,1,6,1,6
3420,777333,2025-06-28,2025,592663,606160,ATL,PHI,R,R,FS,Split-Finger,0,ball,B,0.0,71,3,9,Top,2,1,6,1,6
3532,777333,2025-06-28,2025,592663,606160,ATL,PHI,R,R,SI,Sinker,0,foul,S,0.0,71,2,9,Top,2,1,6,1,6
3661,777333,2025-06-28,2025,592663,606160,ATL,PHI,R,R,SI,Sinker,0,ball,B,0.0,71,1,9,Top,2,1,6,1,6
3704,777333,2025-06-28,2025,596146,606160,ATL,PHI,L,R,SL,Slider,field_out,hit_into_play,X,86.7,70,3,9,Top,1,1,6,1,6
3898,777333,2025-06-28,2025,596146,606160,ATL,PHI,L,R,FF,4-Seam Fastball,0,ball,B,0.0,70,2,9,Top,1,1,6,1,6
4022,777333,2025-06-28,2025,596146,606160,ATL,PHI,L,R,FF,4-Seam Fastball,0,called_strike,S,0.0,70,1,9,Top,1,1,6,1,6
4073,777333,2025-06-28,2025,592206,606160,ATL,PHI,R,R,SL,Slider,field_out,hit_into_play,X,77.8,69,3,9,Top,0,1,6,1,6
4269,777333,2025-06-28,2025,592206,606160,ATL,PHI,R,R,FS,Split-Finger,0,foul,S,98.0,69,2,9,Top,0,1,6,1,6
4384,777333,2025-06-28,2025,592206,606160,ATL,PHI,R,R,FF,4-Seam Fastball,0,called_strike,S,0.0,69,1,9,Top,0,1,6,1,6
2801,777333,2025-06-28,2025,621566,642016,ATL,PHI,L,R,ST,Sweeper,strikeout,swinging_strike,S,0.0,68,6,8,Bot,2,6,1,6,1
2850,777333,2025-06-28,2025,621566,642016,ATL,PHI,L,R,FF,4-Seam Fastball,0,ball,B,0.0,68,5,8,Bot,2,6,1,6,1
2948,777333,2025-06-28,2025,621566,642016,ATL,PHI,L,R,FF,4-Seam Fastball,0,foul,S,85.3,68,4,8,Bot,2,6,1,6,1
3053,777333,2025-06-28,2025,621566,642016,ATL,PHI,L,R,FF,4-Seam Fastball,0,foul,S,98.3,68,3,8,Bot,2,6,1,6,1
3161,777333,2025-06-28,2025,621566,642016,ATL,PHI,L,R,FC,Cutter,0,swinging_strike,S,0.0,68,2,8,Bot,2,6,1,6,1
3284,777333,2025-06-28,2025,621566,642016,ATL,PHI,L,R,ST,Sweeper,0,foul,S,70.7,68,1,8,Bot,2,6,1,6,1
3446,777333,2025-06-28,2025,660670,642016,ATL,PHI,R,R,FF,4-Seam Fastball,strikeout_double_play,swinging_strike,S,0.0,67,6,8,Bot,0,6,1,6,1
3508,777333,2025-06-28,2025,660670,642016,ATL,PHI,R,R,FC,Cutter,0,foul,S,83.0,67,5,8,Bot,0,6,1,6,1
3633,777333,2025-06-28,2025,660670,642016,ATL,PHI,R,R,ST,Sweeper,0,ball,B,0.0,67,4,8,Bot,0,6,1,6,1
3748,777333,2025-06-28,2025,660670,642016,ATL,PHI,R,R,SI,Sinker,0,ball,B,0.0,67,3,8,Bot,0,6,1,6,1
3870,777333,2025-06-28,2025,660670,642016,ATL,PHI,R,R,FC,Cutter,0,called_strike,S,0.0,67,2,8,Bot,0,6,1,6,1
3996,777333,2025-06-28,2025,660670,642016,ATL,PHI,R,R,SI,Sinker,0,ball,B,0.0,67,1,8,Bot,0,6,1,6,1
4153,777333,2025-06-28,2025,669397,642016,ATL,PHI,R,R,ST,Sweeper,single,hit_into_play,X,93.5,66,3,8,Bot,0,6,1,6,1
4241,777333,2025-06-28,2025,669397,642016,ATL,PHI,R,R,SI,Sinker,0,foul_tip,S,0.0,66,2,8,Bot,0,6,1,6,1
4358,777333,2025-06-28,2025,669397,642016,ATL,PHI,R,R,FC,Cutter,0,called_strike,S,0.0,66,1,8,Bot,0,6,1,6,1
2771,777333,2025-06-28,2025,664761,628452,ATL,PHI,R,R,SI,Sinker,field_out,hit_into_play,X,83.1,65,1,8,Top,2,1,6,1,6
2874,777333,2025-06-28,2025,656941,628452,ATL,PHI,L,R,SL,Slider,hit_by_pitch,hit_by_pitch,B,0.0,64,3,8,Top,2,1,6,1,6
2904,777333,2025-06-28,2025,656941,628452,ATL,PHI,L,R,FF,4-Seam Fastball,0,foul_tip,S,0.0,64,2,8,Top,2,1,6,1,6
3009,777333,2025-06-28,2025,656941,628452,ATL,PHI,L,R,SI,Sinker,0,ball,B,0.0,64,1,8,Top,2,1,6,1,6
3218,777333,2025-06-28,2025,607208,628452,ATL,PHI,R,R,SL,Slider,strikeout,swinging_strike,S,0.0,63,3,8,Top,1,1,6,1,6
